,rank,songid,title,artist,like,release_date,genre,lyric
24,25,31093710,여행,볼빨간사춘기,304774,2018.05.24,"인디음악, 록/메탈","저 오늘 떠나요 공항으로
핸드폰 꺼 놔요
제발 날 찾진 말아줘
시끄럽게 소리를 질러도
어쩔 수 없어 나
가볍게 손을 흔들며 bye bye
쉬지 않고 빛났던 꿈같은
my youth
이리저리 치이고 또 망가질 때쯤
지쳤어 나 미쳤어
나 떠날 거야 다 비켜
I fly away
Take me to London
Paris New York city들
아름다운 이 도시에 빠져서 나
Like I'm a bird bird
날아다니는 새처럼
난 자유롭게 fly fly
나 숨을 셔
Take me to new world anywhere
어디든
답답한 이 곳을 벗어 나기만 하면
Shining light light
빛나는 my youth
자유롭게 fly fly
나 숨을 셔
저 이제 쉬어요 떠날 거예요 
노트북 꺼 놔요
제발 날 잡진 말아줘
시끄럽게 소리를 질러도
어쩔 수 없어 나
가볍게 손을 흔들며 see ya
쉬지 않고 빛났던 꿈같은
my youth
이리 저리 치이고 또 망가질 때쯤
지쳤어 나 미쳤어
나 떠날 거야 다 비켜
I fly away
Take me to London Paris
New York city들
아름다운 이 도시에 빠져서 나
Like I'm a bird bird
날아 다니는 새처럼
난 자유롭게 fly fly
나 숨을 셔
Take me to new world anywhere
어디든
답답한 이 곳을 벗어 나기만 하면
Shining light light
빛나는 my youth
자유롭게 fly fly
나 숨을 셔
I can fly away
Fly always always always
Take me to new world anywhere
어디든
답답한 이 곳을 벗어 나기만 하면
Shining light light
빛나는 my youth
자유롭게 fly fly
나 숨을 셔"
25,26,33680289,"잘 지내자, 우리",최유리,81582,2021.07.14,"인디음악, 록/메탈","마음을 다 보여줬던 너와는 다르게
지난 사랑에 겁을 잔뜩 먹은 나는
뒷걸음질만 쳤다
너는 다가오려 했지만
분명 언젠가 떠나갈 것이라 생각해
도망치기만 했다
같이 구름 걸터앉은 나무 바라보며
잔디밭에 누워 한쪽 귀로만 듣던
달콤한 노래들이
쓰디쓴 아픔이 되어
다시 돌아올 것만 같아
분명 언젠가 다시 스칠 날 있겠지만
모른 척 지나가겠지
최선을 다한 넌 받아들이겠지만
서툴렀던 나는 아직도 기적을 꿈꾼다
눈 마주치며 그땐 미안했었다고
용서해달라고 얘기하는 날
그때까지 잘 지내자 우리
지금 생각해보면 그까짓 두려움
내가 바보 같았지 하며
솔직해질 자신 있으니
돌아오기만 하면 좋겠다
분명 언젠가 다시 스칠 날 있겠지만
모른 척 지나가겠지
최선을 다한 넌 받아들이겠지만
서툴렀던 나는 아직도 기적을 꿈꾼다
눈 마주치며 그땐 미안했었다고
용서해달라고 얘기하는 날
그때까지 잘 지내자 우리 우리
눈 마주치며 그땐 미안했다고
용서해달라고 이야기하는 날
그때까지
잘 지내자
우리"
26,27,3620493,안아줘,정준일,239163,2011.11.23,"인디음악, 록/메탈","서러운 맘을 못 이겨
잠 못 들던 어둔 밤을 또 견디고
내 절망관 상관없이
무심하게도 아침은 날 깨우네
상처는 생각보다 쓰리고
아픔은 생각보다 깊어가
널 원망하던 수많은 밤이
내겐 지옥같아
내 곁에 있어줘 내게 머물러줘
네 손을 잡은 날 놓치지 말아줘
이렇게 니가 한걸음 멀어지면
내가 한걸음 더 가면 되잖아
하루에도 수천번씩
니 모습을 되뇌이고 생각했어
내게 했던 모진 말들
그 싸늘한 눈빛 차가운 표정들
넌 참 예쁜 사람 이었잖아
넌 참 예쁜 사람 이었잖아
제발 내게 이러지 말아줘
넌 날 잘 알잖아
내 곁에 있어줘 내게 머물러줘
네 손을 잡은 날 놓치지 말아줘
이렇게 니가 한걸음 멀어지면
내가 한걸음 더 가면 되잖아
내겐 내가 없어 난 자신이 없어
니가 없는 하루 견딜 수가 없어
이젠 뭘 어떻게 해야 할지
모르겠어 니가 없는 난
그냥 날 안아줘 나를 좀 안아줘
아무 말 말고서 내게 달려와줘
외롭고 불안하기만 한 맘으로
이렇게 널 기다리고 있잖아
난 너를 사랑해 난 너를 사랑해
긴 침묵 속에서 소리 내 외칠게
어리석고 나약하기만 한 내 마음을"
27,28,31151836,Way Back Home,숀 (SHAUN),363611,2018.06.27,"인디음악, 일렉트로니카","멈춘 시간 속
잠든 너를 찾아가
아무리 막아도
결국 너의 곁인 걸
길고 긴 여행을 끝내
이젠 돌아가
너라는 집으로
지금 다시
way back home
아무리 힘껏 닫아도
다시 열린 서랍 같아
하늘로 높이 날린 넌
자꾸 내게 되돌아와
힘들게 삼킨 이별도
다 그대로인 걸
oh oh oh
수없이 떠난 길 위에서
난 너를 발견하고
비우려 했던 맘은 또
이렇게 너로 차올라
발걸음의 끝에
늘 니가 부딪혀
그만
그만
멈춘 시간 속
잠든 너를 찾아가
아무리 막아도
결국 너의 곁인 걸
길고 긴 여행을 끝내
이젠 돌아가
너라는 집으로
지금 다시
way back home
조용히 잠든 방을 열어
기억을 꺼내 들어
부서진 시간 위에서
선명히 너는 떠올라
길 잃은 맘 속에
널 가둔 채 살아
그만
그만
멈춘 시간 속
잠든 너를 찾아가
아무리 막아도
결국 너의 곁인 걸
길고 긴 여행을 끝내
이젠 돌아가
너라는 집으로
지금 다시
way back home
세상을 뒤집어
찾으려 해
오직 너로 완결된
이야기를
모든 걸 잃어도
난 너 하나면 돼
빛이 다 꺼진 여기
나를 안아줘
눈을 감으면
소리 없이 밀려와
이 마음 그 위로
넌 또 한 겹 쌓여가
내겐 그 누구도 아닌
니가 필요해
돌아와 내 곁에
그날까지
I’m not done"
28,29,32438894,어떻게 지내 (Prod. By VAN.C),오반(OVAN),220872,2020.03.05,"랩/힙합, 인디음악","어떻게 지내 식상한 말이
내 가사가 될 줄 몰랐어
얼마 안됐네 지나온 날이
다 알아도 그립더라고
i still need you 
i need you
i still need you 
i need you
시간이 필요했어 우린 정말 사랑했지만
가살 쓰는 법도 잊어버리게 됐지 난
넌 헤어지면 우리 노랠 제발 내지 말아
달라 했지만 못 들어줘 미안
나는 하루 종일 누워 있었어
불면이 심해져서 안 피곤한 날이 없어
가끔은 문 밖에서 누가 문을 두드려
그건 환상인데도 나는 두려워
다시 눈 뜨면 니가 있을까 
그럼 무서운 표정을 지을까
아니면 어떤 대화를 나누고 싶어질 수도 
있어 그때처럼
대체 왜 보고싶지 남겨진 상처 대신
남은 건 혼자 돼버린 역시 너와 나겠지
난 아직 낯설기만 해 넌 어때
더 지독해 지기 전에 잊어볼게
어떻게 지내 식상한 말이
내 가사가 될 줄 몰랐어
얼마 안됐네 지나온 날이
다 알아도 그립더라고
i still need you 
i need you
i still need you 
i need you
월요일에 병원을 예약했어
너 없이 사는게 힘들었나봐
하루도 빼지 않고 사람을 만나
너도 알겠지만 오봉이도 데려 왔어 
너무 그리워하지 않더라 예범이는
난 약을 먹었지만 아닐거야 별일은
자전거를 타고 어디론가 가려하면
다 너와 간 곳 뿐인게 좀 그럴 뿐야
여기저기에 핑계를 대 불면증 습관이 돼
너가 아닌 사람에게 널 원하고
흉터가 된 상처는 더 이상 
아프지가 않잖아
그래서 널 그리나봐 이젠 눈물이 나와
널 다치게 하지 않을 순 없었을까
만약 나 때문이었다면 다 나 때문이면
어떻게 지내 식상한 말이
내 가사가 될 줄 몰랐어
얼마 안됐네 지나온 날이
다 알아도 그립더라고
i still need you 
i need you
i still need you 
i need you
널 이렇게 망가지게 한 게
나인 건 아닐까
내가 이렇게 망가지다니
대체 왜 병원에 다닐까
널 이렇게 망가지게 한 게
나인 건 아닐까
내가 이렇게 망가지다니
대체 왜 병원에 다닐까"
29,30,30444778,민들레 (single ver.),우효,159976,2017.05.30,"인디음악, 록/메탈","우리 손 잡을까요
지난날은 다 잊어버리고
나를 사랑한다고 말해주세요
우리 동네에 가요
편한 미소를 지어 주세요
노란 꽃잎처럼 내 맘에
사뿐히 내려앉도록
바람결에 스쳐 갈까
내 마음에 심어질까
너에게 주고만 싶어요
사랑을 말하고 싶어
사랑해요 그대
있는 모습 그대로
너의 모든 눈물
닦아주고 싶어
어서 와요 그대
매일 기다려요
나 웃을게요 많이
그대를 위해 많이
많이 웃을게요
우리 손 잡을까요
널 얼마나 사랑하는데
오늘은 안아줘요
널 왜 자꾸 놓아주려 해
놓아주려 해
바람처럼 사라질까
내 마음을 채워줄까
나는 너를 보고 싶어요
너와 함께 하고 싶어
사랑해요 그대
있는 모습 그대로
너의 모든 시간
함께 하고 싶어
어서 와요 그대
같이 걸어가요
웃게 해줄게요
더 웃게 해줄게요
영원히"
30,31,8036156,EVERYTHING,검정치마,169483,2016.01.29,"인디음악, 록/메탈","You are my everything
My everything
My everything
You are my everything
My everything
and everything
비가 내리는 날엔
우리 방 안에 누워
아무 말이 없고
감은 눈을 마주보면
모든 게 우리 거야
조금 핼쑥한 얼굴로
날 찾아올 때도
가끔 발칙한 얘기로
날 놀랠킬 때도 
You are my everything
My everything
My everything
You are my everything
My everything
and everything
넌 내 모든 거야
내 여름이고
내 꿈이야
넌 내 모든 거야
나 있는 그대로
받아 줄게요"
31,32,8119658,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE),124297,2016.03.30,"발라드, 인디음악","가끔 니가 보고 싶어
널 생각하지 않아도
자꾸 내 꿈속에 나와
너무나 힘들게 해
일년이란 시간 동안
널 잊은 줄 알았는데
또 다시 니가 내게 나타나
밤이 되면 니 생각에
매일 잠들지 못해
그저 너란 사람
내겐 옛 사랑일 뿐인데
잊혀질 듯 하다가도
또 내 꿈속에 나타나
자꾸 내 마음을 흔드는 너인데
꿈속에 너를 사랑하나 봐
아직 사랑했나 봐
아직도 너의 그 모습에
난 또 설레였나봐
너 다시 돌아오면
그렇게 다시 내게 와준다면
그때처럼 날 사랑해줘
헤어지던 그 날부터
매일 눈물만 흘렸어
다시 너를 잡아볼까
생각도 했었어
혹시 날 그리워할까
날 생각하긴 한 걸까
아직도 너를 잊지 못한 나인데
꿈속에 너를 사랑하나 봐
아직 사랑했나 봐
아직도 너의 그 모습에
난 또 설레였나봐
너 다시 돌아오면
그렇게 다시 내게 와준다면
그때처럼 날 사랑해줘
이젠 꿈에서 조차
너를 보고 싶지 않아
내 머릿속에서 니가 떠났으면
더 이상 너 하나만 바라보며
살아 갈 수 없어
꿈속에 널 이젠 놓아주려 해
꿈속에 너를 사랑하나 봐
아직 사랑했나 봐
아직도 너의 그 모습에
난 또 설레였나봐
너 다시 돌아오면
그렇게 다시 내게 와준다면
그때처럼 날 사랑해줘"
32,33,8298724,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비,212061,2016.08.04,"인디음악, 록/메탈","그땐 난 어떤 
마음이었길래 
내 모든걸 주고도 
웃을 수 있었나 
그대는 또 어떤 
마음이었길래 
그 모든걸 갖고도 
돌아서 버렸나 
뜨거운 여름밤은 가고 
남은 건 볼 품 없지만 
또다시 찾아오는 
누군갈 위해서 
남겨두겠소 
다짐은 세워올린 모래성은 
심술이 또 터지면 
무너지겠지만 
뜨거운 여름밤은 가고 
남은 건 볼 품 없지만 
또다시 찾아오는 
누군갈 위해서 
남겨두겠소 
그리운 그 마음 그대로  
영원히 담아둘거야 
언젠가 불어오는 바람에 
남몰래 날려보겠소 
눈이 부시던 그 순간들도 
가슴아픈 그대의 거짓말도 
새하얗게 바래지고 
비틀거리던 내 발걸음도  
그늘아래 드리운 내 눈빛도 
아름답게 피어나길 
눈이 부시던 그 순간들도 
가슴아픈 그대의 거짓말도 
새하얗게 바래지고 
비틀거리던 내 발걸음도  
그늘아래 드리운 내 눈빛도 
아름답게 피어나길 
눈이 부시던 그 순간들도
가슴아픈 그대의 거짓말도
새하얗게 바래지고
비틀거리던 내 발걸음도 
그늘아래 드리운 내 눈빛도
아름답게 피어나길"
33,34,4848555,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비,209453,2014.08.28,"인디음악, 록/메탈","사랑하긴 했었나요 
스쳐가는 인연이었나요 
짧지 않은 우리 함께 했던 
시간들이 자꾸 
내 마음을 가둬두네
누가 내 가슴에다 불을 질렀나
누가 내 심장에다 못을 박았나
그대의 눈빛은 날 얼어붙게 해
그대여 다시 내게 마음을 주오
ooh ooh baby I need you
사랑하긴 했었나요 
스쳐가는 인연이었나요 
짧지 않은 우리 함께 했던 
시간들이 자꾸 
내 마음을 가둬두네
love you love you love again 
love again with you 
짧지 않은 우리 
함께 했던 시간들이 
자꾸 내 마음을 가둬두네
ooh ooh baby I need you
당신은 도대체가 누구시길래
당신께 내가 무슨 죄를 졌길래
쉽사리 내 맘을 준 죄 밖엔 없는데
내 님아 다시 내게 믿음을 주오
ooh ooh baby I need you
사랑하긴 했었나요 
스쳐가는 인연이었나요 
짧지 않은 우리 함께 했던 
시간들이 자꾸 
내 마음을 가둬두네
love you love you love again 
love again with you 
짧지 않은 우리 
함께 했던 시간들이 
자꾸 내 마음을 가둬두네
ooh ooh baby I need you
맘 같아선 널 내 방에 가두고 
널 내 품에 안고서 
baby I love you
내가 어쩌다 이 지경에 
이런 몹쓸 생각까지 하는지
찬물 마시고 정신 차리자
어차피 넌 떠났으니까
사랑하긴 했었나요 
스쳐가는 인연이었나요 
짧지 않은 우리 
함께 했던 시간들이 
자꾸 내 마음을 가둬두네
love you love you love again 
love again with you 
짧지 않은 우리 
함께 했던 시간들이 
자꾸 내 마음을 가둬두네
love you love you love again 
love again with you 
love you love you love again 
love again with you"
34,35,5466962,스토커,10CM,278706,2014.11.19,"인디음악, 포크/블루스","나도 알아 나의 문제가 무엇인지
난 못났고 별 볼 일 없지
그 애가 나를 부끄러워 한다는 게
슬프지만 내가 뭐라고
빛나는 누군갈 좋아하는 일에 
기준이 있는 거라면
이해할 수 없지만 할 말 없는걸
난 안경 쓴 샌님이니까
내가 이렇게 사랑하는데
이렇게 원하는데
나는 아무것도 할 수 없고
바라만 보는데도
내가 그렇게 불편할까요
내가 나쁜 걸까요
아마도 내일도 그 애는 뒷모습만
이제 알아 나의 할 일이 무엇인지
다 포기하고 참아야 하지
저 잘 나가는 너의 남자친구처럼
되고 싶지만 불가능하지
빛나는 누군갈 좋아하는 일에
기준이 있는 거라면
이해할 수 없지만 할 말 없는걸
난 안경 쓴 샌님이니까
내가 이렇게 사랑하는데
이렇게 원하는데
나는 아무것도 할 수 없고
바라만 보는데도
내가 그렇게 불편할까요
내가 나쁜 걸까요
아마도 내일도 그 애는
나는 왜 이런 사람 이런 모습이고
이런 사랑을 하고
나는 아무것도 될 수 없고
바라만 보는데도
내가 그렇게 불편하니까
내가 나쁜 거니까
아마도 내일도 그 애는
나도 알아 나의 문제가 무엇인지"
